# SS10DB 주요 테이블 목록 (SS10 / SONESP / WMS)
이 자료는 신성통상 메인 DB (SS10DB)의 주요 스키마 테이블 목록을 추출한 것입니다.

| OWNER | TABLE_NAME | NUM_ROWS | TABLE_TYPE | COMMENTS |
| SONESP | CT_MAT_ORDER_HDR | 0 | TABLE |  |
| SONESP | CT_MAT_ORDER_HDR_HIST | 0 | TABLE |  |
| SONESP | CT_MAT_ORDER_HDR_TEMP | 0 | TABLE |  |
| SONESP | CT_MAT_TRANS | 0 | TABLE |  |
| SONESP | CT_MBS_FAB | 0 | TABLE |  |
| SONESP | CT_MBS_FAB_ETD | 0 | TABLE |  |
| SONESP | CT_MBS_FAB_PUR | 0 | TABLE |  |
| SONESP | CT_MBS_FAB_SHIP | 0 | TABLE |  |
| SONESP | CT_MBS_FAB_WDATE | 0 | TABLE |  |
| SONESP | CT_MBS_FAB_WK_DATE | 0 | TABLE |  |
| SONESP | CT_MBS_RCPT | 0 | TABLE |  |
| SONESP | CT_MBS_TRNS | 0 | TABLE |  |
| SONESP | CT_MFAC_BUY_PARTY_CHG_DETL | 0 | TABLE |  |
| SONESP | CT_MFAC_BUY_PARTY_CHG_HDR | 0 | TABLE |  |
| SONESP | CT_MFAC_BUY_PLACE_IMG | 0 | TABLE |  |
| SONESP | CT_MFAC_CMPH_APP | 0 | TABLE |  |
| SONESP | CT_MFAC_EXPORT | 0 | TABLE |  |
| SONESP | CT_MFAC_PCOST_DETL | 0 | TABLE |  |
| SONESP | CT_MFAC_PCOST_DETL_TEMP | 0 | TABLE |  |
| SONESP | CT_MFAC_PCOST_FILE | 0 | TABLE |  |
| SONESP | CT_MFAC_PCOST_FILE_CREATE | 0 | TABLE |  |
| SONESP | CT_MFAC_PCOST_HDR | 0 | TABLE |  |
| SONESP | CT_MFAC_PCOST_HDR_TEMP | 0 | TABLE |  |
| SONESP | CT_MFAC_PCOST_STYLE | 0 | TABLE |  |
| SONESP | CT_MFAC_PCOST_STYLE_TEMP | 0 | TABLE |  |
| SONESP | CT_MF_CONSUMP | 0 | TABLE |  |
| SONESP | CT_MF_CUTTING | 0 | TABLE |  |
| SONESP | CT_MF_CUTTING_PHOTO | 0 | TABLE |  |
| SONESP | CT_MF_FABRIC | 0 | TABLE |  |
| SONESP | CT_MF_FABRIC_PHOTO | 0 | TABLE |  |
| SONESP | CT_MF_SEWING | 0 | TABLE |  |
| SONESP | CT_MF_SEWING_PHOTO | 0 | TABLE |  |
| SONESP | CT_MNG_FREI_CHARG | 0 | TABLE |  |
| SONESP | CT_MNG_G_FREI_CHARG | 0 | TABLE |  |
| SONESP | CT_MNG_SELL_EXPS_RATE | 0 | TABLE |  |
| SONESP | CT_MNG_SRC_MUP | 0 | TABLE |  |
| SONESP | CT_MNU_MAT_PAY_INFO | 0 | TABLE |  |
| SONESP | CT_MNU_MFAC_CHANGE_INFO | 0 | TABLE |  |
| SONESP | CT_OLDCLOSE_EXCEPT | 0 | TABLE |  |
| SONESP | CT_ORDER_CTN | 0 | TABLE |  |
| SONESP | CT_PACK_TRANS | 0 | TABLE |  |
| SONESP | CT_PAY_CLOSE_MNG | 0 | TABLE |  |
| SONESP | CT_PCK_BCD_DTL | 0 | TABLE |  |
| SONESP | CT_PCK_BCD_HDR | 0 | TABLE |  |
| SONESP | CT_PCOST_BUYER_SELL_EXPN | 0 | TABLE |  |
| SONESP | CT_PCOST_CLOTH_TYPE_PC_CBM | 0 | TABLE |  |
| SONESP | CT_PCOST_DC_RATIO | 0 | TABLE |  |
| SONESP | CT_PCOST_FCINSP_RATE | 0 | TABLE |  |
| SONESP | CT_PCOST_FKINSP_RATE | 0 | TABLE |  |
| SONESP | CT_PCOST_GARMANT_CHARG | 0 | TABLE |  |
| SONESP | CT_PCOST_GCINSP_RATE | 0 | TABLE |  |
| SONESP | CT_PCOST_HANDLING_CHARG | 0 | TABLE |  |
| SONESP | CT_PCOST_HNDLNG_CHARG | 0 | TABLE |  |
| SONESP | CT_PCOST_NOP_INCM_EXPN | 0 | TABLE |  |
| SONESP | CT_PCOST_OCEAN_CHARG | 0 | TABLE |  |
