
=========================================
 Sheet: 기준정보-주요테이블명세
=========================================
R03:  |  | ■ | FONE 정리 기준 |  |  |  | ■ | FONE 주요/참조 테이블 목록 |  |  |  | ■ | AONE 정리 기준 |  |  |  | ■ | AONE 주요/참조 테이블 목록 | 
R72:  |  |  | SHOP_TEL_NO1 | VARCHAR2 (4 Byte) | Y |  |  | 매장전화번호1 |  |  |  |  | SHOP_TEL_NO1 | VARCHAR2 (4 Byte) | Y |  |  | 매장전화번호1 | 
R73:  |  |  | SHOP_TEL_NO2 | VARCHAR2 (4 Byte) | Y |  |  | 매장전화번호2 |  |  |  |  | SHOP_TEL_NO2 | VARCHAR2 (4 Byte) | Y |  |  | 매장전화번호2 | 
R74:  |  |  | SHOP_TEL_NO3 | VARCHAR2 (4 Byte) | Y |  |  | 매장전화번호3 |  |  |  |  | SHOP_TEL_NO3 | VARCHAR2 (4 Byte) | Y |  |  | 매장전화번호3 | 
R75:  |  |  | SHOP_FAX_NO1 | VARCHAR2 (4 Byte) | Y |  |  | 매장팩스번호1 |  |  |  |  | SHOP_FAX_NO1 | VARCHAR2 (4 Byte) | Y |  |  | 매장팩스번호1 | 
R76:  |  |  | SHOP_FAX_NO2 | VARCHAR2 (4 Byte) | Y |  |  | 매장팩스번호2 |  |  |  |  | SHOP_FAX_NO2 | VARCHAR2 (4 Byte) | Y |  |  | 매장팩스번호2 | 
R77:  |  |  | SHOP_FAX_NO3 | VARCHAR2 (4 Byte) | Y |  |  | 매장팩스번호3 |  |  |  |  | SHOP_FAX_NO3 | VARCHAR2 (4 Byte) | Y |  |  | 매장팩스번호3 | 
R78:  |  |  | SHOP_PSTNO | CHAR (6 Byte) | Y |  |  | 매장우편번호 |  |  |  |  | SHOP_PSTNO | CHAR (6 Byte) | Y |  |  | 매장우편번호 | 
R79:  |  |  | SHOP_ADDR1 | VARCHAR2 (100 Byte) | Y |  |  | 매장주소1 |  |  |  |  | SHOP_ADDR1 | VARCHAR2 (100 Byte) | Y |  |  | 매장주소1 | 
R80:  |  |  | SHOP_ADDR2 | VARCHAR2 (100 Byte) | Y |  |  | 매장주소2 |  |  |  |  | SHOP_ADDR2 | VARCHAR2 (100 Byte) | Y |  |  | 매장주소2 | 
R81:  |  |  | EMP_CNT | NUMBER | Y | 0 |  | 종업원수 |  |  |  |  | EMP_CNT | NUMBER | Y | 0 |  | 종업원수 | 
R82:  |  |  | SHOP_RANK_CLSBY | VARCHAR2 (20 Byte) |  |  |  | 매장등급구분 |  |  |  |  | SHOP_RANK_CLSBY | VARCHAR2 (20 Byte) | N |  |  | 매장등급구분 | 
R83:  |  |  | DVID_RANK_CLSBY | VARCHAR2 (20 Byte) |  |  |  | 배분등급구분 |  |  |  |  | DVID_RANK_CLSBY | VARCHAR2 (20 Byte) | N |  |  | 배분등급구분 | 
R84:  |  |  | LOW_PRICE_YN | CHAR (1 Byte) |  |  |  | 저가여부 |  |  |  |  | LOW_PRICE_YN | CHAR (1 Byte) | N |  |  | 저가여부 | 
R85:  |  |  | RE_BUY_YN | CHAR (1 Byte) |  |  |  | 재매입여부 |  |  |  |  | RE_BUY_YN | CHAR (1 Byte) | N |  |  | 재매입여부 | 
R86:  |  |  | STRIN_STOCK_MNG_YN | CHAR (1 Byte) |  |  |  | 사입재고관리여부 |  |  |  |  | STRIN_STOCK_MNG_YN | CHAR (1 Byte) | N |  |  | 사입재고관리여부 | 
R87:  |  |  | DEPA_BRCH_CD | VARCHAR2 (20 Byte) | Y |  |  | 백화점지점코드 |  |  |  |  | DEPA_BRCH_CD | VARCHAR2 (20 Byte) | Y |  |  | 백화점지점코드 | 
R88:  |  |  | OPEN_DT | VARCHAR2 (8 Byte) |  | NULL |  | 개업일자 |  |  |  |  | OPEN_DT | VARCHAR2 (8 Byte) | N | NULL |  | 개업일자 | 
R89:  |  |  | DSHOP_DT | VARCHAR2 (8 Byte) | Y | NULL |  | 폐점일자 |  |  |  |  | DSHOP_DT | VARCHAR2 (8 Byte) | Y | NULL |  | 폐점일자 | 
R90:  |  |  | DSHOP_CLSBY | VARCHAR2 (20 Byte) |  |  |  | 폐점구분 |  |  |  |  | DSHOP_CLSBY | VARCHAR2 (20 Byte) | N |  |  | 폐점구분 | 
R91:  |  |  | INTERIOR_DT | VARCHAR2 (8 Byte) | Y | NULL |  | 인테리어일자 |  |  |  |  | INTERIOR_DT | VARCHAR2 (8 Byte) | Y | NULL |  | 인테리어일자 | 
R92:  |  |  | AREA | NUMBER | Y | 0 |  | 면적 |  |  |  |  | AREA | NUMBER | Y | 0 |  | 면적 | 
R93:  |  |  | PRE_AREA_WDTH | NUMBER | Y | 0 |  | 전면폭 |  |  |  |  | PRE_AREA_WDTH | NUMBER | Y | 0 |  | 전면폭 | 
R94:  |  |  | GRNT_PRICE | NUMBER |  | 0 |  | 보증금 |  |  |  |  | GRNT_PRICE | NUMBER | N | 0 |  | 보증금 | 
R95:  |  |  | IMC_YN | CHAR (1 Byte) | Y |  |  | EDI사용여부(기본 IMC여부 필드에서 변경하여 사용함) |  |  |  |  | IMC_YN | CHAR (1 Byte) | Y |  |  | EDI사용여부(기본 IMC여부 필드에서 변경하여 사용함) | 
R96:  |  |  | TERMN_NO | VARCHAR2 (20 Byte) | Y |  |  | 단말기번호 |  |  |  |  | TERMN_NO | VARCHAR2 (20 Byte) | Y |  |  | 단말기번호 | 
R97:  |  |  | REAL_REPR_NM | VARCHAR2 (50 Byte) | Y |  |  | 실대표성명 |  |  |  |  | REAL_REPR_NM | VARCHAR2 (50 Byte) | Y |  |  | 실대표성명 | 
R98:  |  |  | REAL_REPR_RESNO | VARCHAR2 (100 Byte) | Y |  |  | 실대표주민번호 |  |  |  |  | REAL_REPR_RESNO | VARCHAR2 (100 Byte) | Y |  |  | 실대표주민번호 | 
R99:  |  |  | REAL_REPR_PSTNO | CHAR (6 Byte) | Y |  |  | 실대표우편번호 |  |  |  |  | REAL_REPR_PSTNO | CHAR (6 Byte) | Y |  |  | 실대표우편번호 | 
R100:  |  |  | REAL_REPR_ADDR1 | VARCHAR2 (100 Byte) | Y |  |  | 실대표주소1 |  |  |  |  | REAL_REPR_ADDR1 | VARCHAR2 (100 Byte) | Y |  |  | 실대표주소1 | 
R101:  |  |  | REAL_REPR_ADDR2 | VARCHAR2 (100 Byte) | Y |  |  | 실대표주소2 |  |  |  |  | REAL_REPR_ADDR2 | VARCHAR2 (100 Byte) | Y |  |  | 실대표주소2 | 
R102:  |  |  | REAL_REPR_MYHSE_TEL_NO1 | VARCHAR2 (4 Byte) | Y |  |  | 실대표자택전화번호1 |  |  |  |  | REAL_REPR_MYHSE_TEL_NO1 | VARCHAR2 (4 Byte) | Y |  |  | 실대표자택전화번호1 | 
R103:  |  |  | REAL_REPR_MYHSE_TEL_NO2 | VARCHAR2 (4 Byte) | Y |  |  | 실대표자택전화번호2 |  |  |  |  | REAL_REPR_MYHSE_TEL_NO2 | VARCHAR2 (4 Byte) | Y |  |  | 실대표자택전화번호2 | 
R104:  |  |  | REAL_REPR_MYHSE_TEL_NO3 | VARCHAR2 (4 Byte) | Y |  |  | 실대표자택전화번호3 |  |  |  |  | REAL_REPR_MYHSE_TEL_NO3 | VARCHAR2 (4 Byte) | Y |  |  | 실대표자택전화번호3 | 
R105:  |  |  | SHOP_TYPE | VARCHAR2 (20 Byte) |  |  |  | 매장유형 |  |  |  |  | SHOP_TYPE | VARCHAR2 (20 Byte) | N |  |  | 매장유형 | 
R106:  |  |  | SHOP_FORM | VARCHAR2 (20 Byte) |  |  |  | 유통형태 |  |  |  |  | SHOP_FORM | VARCHAR2 (20 Byte) | N |  |  | 유통형태 | 
R107:  |  |  | CHKUP_CLSBY | VARCHAR2 (20 Byte) |  |  |  | 검수구분 |  |  |  |  | CHKUP_CLSBY | VARCHAR2 (20 Byte) | N |  |  | 검수구분 | 
R108:  |  |  | ENURI_YN | CHAR (1 Byte) |  |  |  | 에누리여부 |  |  |  |  | ENURI_YN | CHAR (1 Byte) | N |  |  | 에누리여부 | 
R109:  |  |  | WETH_AREA_CD | VARCHAR2 (20 Byte) | Y |  |  | 기상지역코드 |  |  |  |  | WETH_AREA_CD | VARCHAR2 (20 Byte) | Y |  |  | 기상지역코드 | 
R110:  |  |  | EVENT_YN | CHAR (1 Byte) |  |  |  | 행사여부 |  |  |  |  | EVENT_YN | CHAR (1 Byte) | N |  |  | 행사여부 | 
R111:  |  |  | SHOP_ORGN_CD | VARCHAR2 (20 Byte) |  |  |  | 매장고유코드 |  |  |  |  | SHOP_ORGN_CD | VARCHAR2 (20 Byte) | N |  |  | 매장고유코드 | 
R112:  |  |  | MNS_STOCK_PERM_CLSBY | VARCHAR2 (20 Byte) |  |  |  | 마이너스재고허용구분 |  |  |  |  | MNS_STOCK_PERM_CLSBY | VARCHAR2 (20 Byte) | N |  |  | 마이너스재고허용구분 | 
R113:  |  |  | BSNO | VARCHAR2 (13 Byte) | Y |  |  | 사업자번호 |  |  |  |  | BSNO | VARCHAR2 (13 Byte) | Y |  |  | 사업자번호 | 
R114:  |  |  | MLANG_NO | NUMBER | Y |  |  | 다국어 |  |  |  |  | MLANG_NO | NUMBER | Y |  |  | 다국어 | 
R115:  |  |  | DVID_YN | CHAR (1 Byte) | Y | 'Y' |  | 배분여부 |  |  |  |  | DVID_YN | CHAR (1 Byte) | Y | 'Y' |  | 배분여부 | 
R116:  |  |  | DELV_STOP_YN | CHAR (1 Byte) | Y | 'N' |  | 출고정지여부 |  |  |  |  | DELV_STOP_YN | CHAR (1 Byte) | Y | 'N' |  | 출고정지여부 | 
R117:  |  |  | SALE_STOP_YN | CHAR (1 Byte) | Y | 'N' |  | 판매정지여부 |  |  |  |  | SALE_STOP_YN | CHAR (1 Byte) | Y | 'N' |  | 판매정지여부 | 
R118:  |  |  | RE_BUY_CLSBY | VARCHAR2 (20 Byte) | Y |  |  | 재매입수행구분 |  |  |  |  | RE_BUY_CLSBY | VARCHAR2 (20 Byte) | Y |  |  | 재매입수행구분 | 
R119:  |  |  | COMPY_CD | VARCHAR2 (20 Byte) | Y |  |  | 회사코드 |  |  |  |  | COMPY_CD | VARCHAR2 (20 Byte) | Y |  |  | 회사코드 | 
