□ 작업지시등록 메인,,,,,,,,,
요척,T_MAT_MATSY_INFO,REAL_UQOF,"NUMBER(20,4)",,EditText,O,Y,,
단위,T_MAT_MATSY_INFO,UNIT,VARCHAR2(20),,ComboBox,O,Y,,
단가,T_MAT_MATSY_INFO,MAT_UPRICE,NUMBER,,EditText,O,Y,,
자재구매업체,T_MAT_MATSY_INFO,MFAC_BUY_PARTY_ID,NUMBER,,DataDic,O,Y,,
비고,T_MAT_MATSY_INFO,MAT_RMK,VARCHAR2(500),,EditText,O,Y,,
,,,,,,,,,
ㅁ SIZE/SPEC,,,,,,,,,
사용부위,T_SIZE_SPEC,PUSE_PART,VARCHAR2(100),,EditText,O,Y,,
부위설명,T_SIZE_SPEC,ATTR1,VARCHAR2(200),,EditText,O,Y,,
사이즈(ex.95),T_SIZE_SPEC,SIZE_SPEC,VARCHAR2(200),,EditText,O,Y,"사이즈 정보에 등록되어있는 사이즈만
등록가능",
,,,,,,,,,
□ STYLE/SKETCH,,,,,,,,,
파일명,T_WORK_INDC_APND_FILE,LGIC_FILE_NM,VARCHAR2(200),,DataGrid,O,Y,,
특이사항,T_WORK_INDC_APND_FILE,PEMT,VARCHAR2(200),,DataGrid,O,Y,,
특이사항,T_WORK_INDC_MEMO,PEMT,VARCHAR2(300),,DataGrid,O,Y,,
,,,,,,,,,
□ 분할입고,,,,,,,,,
분할차수,T_PARTT_STOR_INFO,PARTT_SEQN,NUMBER,,DataGrid,O,Y,,
수량,T_PARTT_STOR_INFO,PARTT_INDC_QTY,NUMBER,,DataGrid,O,Y,,
분할입고요청일,T_PARTT_STOR_INFO,PARTT_STOR_REQ_DT,VARCHAR2(8),,DataGrid,O,Y,,
입고비율,T_PARTT_STOR_INFO,PARTT_STOR_RATE,NUMBER,,DataGrid,O,Y,,
분할차수,T_PARTT_STOR_DETL,PARTT_SEQN,NUMBER,,DataGrid,O,Y,,
칼라,T_PARTT_STOR_DETL,COLOR_CD,VARCHAR2(20),,DataGrid,O,Y,,
,,,,,,,,,
□ 내역변경 히스토리,,,,,,,,,
변경일,CT_STYLE,INS_DAY,VARCHAR2(14),,DataGrid,,Y,,
품번,CT_STYLE,PRDT_CD,VARCHAR2(20),,DataGrid,,Y,,
참수,CT_STYLE,SEQN,VARCHAR2(2),,DataGrid,,Y,,
변경전,CT_STYLE,EXPR_DT,VARCHAR2(8),,DataGrid,,Y,,
변경후,CT_STYLE,EXPR_DT,VARCHAR2(8),,DataGrid,,Y,,
변경사유,CT_STYLE,EXPR_DT_UPT_REASON,VARCHAR2(500),,DataGrid,,Y,,
변경일,CT_STYLE,INS_DAY,VARCHAR2(14),,DataGrid,,Y,,
품번,CT_STYLE,PRDT_CD,VARCHAR2(20),,DataGrid,,Y,,
차수,CT_STYLE,SEQN,VARCHAR2(2),,DataGrid,,Y,,
컬러,CT_STYLE,COLOR_CD,VARCHAR2(20),,DataGrid,,Y,,
사이즈,CT_STYLE_SIZE,SIZE_CD,VARCHAR2(20),,DataGrid,,Y,,
변경전,CT_STYLE_SIZE,MFAC_INDC_QTY,NUMBER,,DataGrid,,Y,,
변경후,CT_STYLE_SIZE,MFAC_INDC_QTY,NUMBER,,DataGrid,,Y,,
,,,,,,,,,
□ 기획사이즈,,,,,,,,,
사이즈 - 헤더,T_STYLE_SIZE,SIZE_CD,VARCHAR2(20),, HEADER,,Y,,
수량 - 헤더,T_STYLE_SIZE,MFAC_INDC_QTY,NUMBER,, HEADER,,Y,,
비율 - 헤더,직접 계산,사이즈별 수량 비율,-,, HEADER,,Y,"사이즈별 수량 비율
(예) (400/2000)*100, (760/2000)*100",
컬러 - 그리드,T_COLOR,COLOR_CD,VARCHAR2(20),,DataGrid,,Y,,
대표컬러 - 그리드,T_REPR_COLOR,COLOR_CD,VARCHAR2(20),,DataGrid,,Y,T_COLOR 테이블의 ATTR1과 조인,
사이즈 - 그리드,T_STYLE_SIZE,MFAC_INDC_QTY,NUMBER,,DataGrid,,Y,,
